Protein	i10	i11	i12	i13	i14	i21	i22	i23	i24	i25	i26	i27	i28	i29	i30	i37	i38	i39	i40	i41	i42	i43	i44	i45	i46	i5	i53	i55	i56	i57	i58	i59	i60	i61	i62	i63	i64	i69	i7	i71	i72	i73	i74	i75	i76	i77	i78	i79	i8	i80	i85	i87	i88	i89	i9	i90	i91	i92	i93	i94	i95	i96
P61160	-0.168618825	0.473324002	0.522277932	-0.998472362	0.013389169	-0.305320638	0.384795784	-0.582737445	0.225436628	-0.652132271	0.46668434	-0.582369113	0.574775626	-0.54294976	0.528118638	0.491795748	1.36148617	0.210986938	-0.238712758	0.044808277	-0.294148635	-0.22171213	0.822862382	-0.338942239	0.211567213	0.235346068	-0.358127847	0.558628676	-0.065066975	0.641939698	-0.197197924	1.002457593	0.362493	0.230389361	-0.316394593	-0.831985039	-0.301601808	-0.840968433	0.038582415	-0.299499777	-0.635029062	1.193487355	-0.581218772	-0.271009692	-1.196663845	0.374792313	-0.472347375	0.151451334	0.200925188	-0.123121616	-0.357048612	0.369588757	-0.637867054	0.964303015	0.134092522	-0.364068318	0.628400984	-0.575982738	0.538036205	-0.319846042	0.407792946	-0.364068318
P61163	0.237412472	-0.131590628	0.237412472	-0.102378655	0.121405919	-0.102378655	0.276012714	-0.131590628	0.144717603	-0.131590628	0.238263244	-0.131590628	0.238263244	-0.131590628	0.276012714	-0.131590628	0.2037685	-0.131590628	0.2037685	-0.131590628	0.237412472	-0.131590628	0.072473389	-0.131590628	0.2037685	-0.090444465	0.237412472	0.159155389	-0.131590628	0.159155389	-0.131590628	0.276012714	-0.090444465	0.237412472	-0.131590628	0.237412472	-0.131590628	0.237412472	-0.090444465	0.237412472	-0.131590628	0.299096083	-0.131590628	0.276012714	-0.131590628	0.237412472	-0.215793046	0.16601903	0.237412472	-0.164541523	0.237412472	0.276012714	-0.131590628	0.276012714	-0.090444465	-0.131590628	0.276012714	-0.131590628	0.237412472	-0.131590628	0.276012714	-0.131590628
P61221	0.023437201	-0.169777467	0.114349224	-0.175223996	0.041698866	-0.112364821	0.068222474	-0.158262491	0.190149403	0.116638107	0.190149403	-0.129477989	0.169930698	-0.066737452	0.114349224	-0.135492112	0.017218198	-0.16130183	0.114349224	-0.207106051	0.017218198	-0.152498353	0.114349224	-0.135492112	0.069995491	-0.138018733	0.214160676	0.055952827	-0.175223996	0.114349224	-0.175223996	0.114349224	-0.144875348	0.11440849	-0.212547571	0.12092072	-0.216484743	0.197533625	-0.169777467	0.242926696	-0.227999719	-0.016246156	-0.152498353	0.059162255	-0.237072218	0.069995491	-0.177079051	0.054792802	0.023437201	-0.222329294	0.211874755	0.240622731	0.073931408	0.20659567	-0.06070874	-0.227999719	0.101682562	0.008642452	0.090319907	-0.175223996	0.211874755	-0.227999719
P61224	1.665094646	-0.819738825	-0.526711932	-0.046730058	-0.088625735	-0.019610864	-0.117303305	-0.244561693	0.106388427	0.188006044	0.68515215	-0.564526247	-0.53036663	-0.500973808	0.131319772	0.127083518	-0.032712266	0.547121162	-0.453312269	0.900748977	-0.278189447	-0.239169518	0.731433377	-0.102962347	-0.551380729	0.347945437	-0.131088124	0.828545016	-0.178652909	0.149898437	0.473510488	-1.315802731	0.703672352	-0.83139803	-0.59082665	-0.384118895	0.221326244	0.418605692	-0.24738518	-0.588965885	-0.554969895	0.156900814	-0.265746061	0.530021511	-0.616032607	-0.588965885	0.223966145	-0.355206163	0.200607928	-0.197548137	-0.404278494	0.10114687	-0.554969895	0.073473862	0.302269681	-0.554969895	0.227849701	-0.553389274	-0.453312269	-0.56016567	-0.14116454	-0.554969895
P61247	-0.206628116	-0.081833807	-0.092628265	0.32277083	0.040455817	0.010496265	0.597944255	-0.003804425	-0.279011051	0.179374768	-0.40140074	-0.091087569	-0.134995354	0.225664723	-0.656215274	0.106947299	-0.046061354	-0.067744309	0.096400729	0.800166092	0.227066853	0.201116612	-0.055613076	-0.024807381	-0.292460384	0.190221619	-0.131460298	0.070134692	0.16768946	-0.052577445	0.181193754	-0.123329624	0.057583314	-0.022722324	0.392812561	0.025154734	0.080926245	-0.259739522	0.334055227	-0.280043889	-0.048594544	-0.060650523	0.440562846	0.078416193	0.055858739	-0.597629262	0.280917669	-0.251212955	-0.030199553	-0.132916198	-0.270682416	-0.370322023	0.197241494	0.022852922	-0.433917533	0.119345906	0.044404773	0.035818759	-0.185481272	0.324450409	-0.496568397	0.274293322
P61254	-0.358702992	0.273495856	-0.250986527	0.743123086	-0.399920941	0.333362334	0.129644345	0.13597945	-0.332874697	0.064038121	-0.383609939	-0.16282857	-0.106945142	0.321978723	-0.55047002	0.001181358	0.223769778	0.633888181	-0.765504168	0.165516749	-0.551671419	0.330756601	-0.217583334	0.673299603	0.156497659	-0.21975777	-0.49164518	0.063243383	0.464452649	-0.030183374	0.606288155	-0.318348957	0.280079642	-0.520450723	0.833868233	-0.064774024	0.45265554	-0.186549069	-0.004748506	-0.40052321	0.038391422	-0.059299898	0.333361186	-0.041243547	-0.163711044	-0.732084727	0.12341596	-0.869499096	0.103323204	-0.050442867	-0.214878901	-0.148096427	0.441635525	0.361304877	0.283325036	0.271533974	-0.225311022	0.305779248	-0.304295053	0.293800469	-0.903143083	0.587093882
P61313	-0.576670352	0.132200263	-0.490388609	0.193410835	-0.013212439	-0.302514025	-0.19752585	0.086179002	-0.367972304	-0.286739533	-0.501216089	-0.292177691	0.178643697	-0.20255392	0.277085537	0.114649892	0.049132395	0.294429111	-0.409615767	0.039301736	-0.394978067	-0.312125574	-0.039104321	0.139472061	0.116248656	-0.120603187	-0.206172693	-0.037358865	0.102626838	0.464131079	-0.071548965	-0.294427495	0.250412147	-0.049172187	0.388961664	-0.062013803	0.157013692	-0.704287145	0.084321715	-0.098399763	-0.193483267	-0.242875381	0.060270264	-0.640200784	0.097202203	0.235421633	0.294287164	0.108350987	-0.130012409	-0.097016516	-0.463223902	0.239876573	0.338567963	0.281375545	0.141133373	0.436396713	-0.048108331	1.07023721	0.211044119	0.445744771	0.448143756	0.36942664
P61353	-0.093248116	0.378682567	-0.271266848	0.372681822	-0.330497841	0.240304306	-0.094610769	0.31728643	-0.631047759	0.066685061	-0.181532446	0.11013816	-0.416907644	0.214963342	-0.311959863	-0.352306782	-0.041996851	0.259158496	-0.637599361	0.249243054	-0.469067675	0.107530484	-0.325515208	0.092931335	-0.145414343	-0.058883703	-0.48601346	0.146072654	0.55616149	0.091936059	0.309146622	-0.133670169	-0.523415866	-0.474963149	-0.013346187	0.132076819	-0.041359681	-1.024867969	0.134840934	-0.024691676	0.008876449	0.09706642	0.671370183	0.033052307	0.190810435	-0.12330573	0.161999025	-0.053592696	0.012891364	0.209215424	0.067233855	0.223691614	-0.036797973	0.160524042	-0.091755155	0.05364468	0.092877375	0.518857296	0.01257194	0.496783678	0.158378653	0.439950546
P61586	-0.154521918	-0.226606485	-0.380505516	-0.184383875	-0.165724815	-0.691816658	0.359345434	-0.232471528	0.88473596	0.554769728	0.578093181	-0.068003631	0.067261041	0.352612356	-0.292974186	-0.35630354	-0.695224732	-0.083904247	-0.121502383	-0.78938945	-0.219200754	-0.634421408	-0.319497685	-0.504646502	-0.292947856	0.157029894	-0.534209701	-0.030305995	-0.403372475	0.105150979	0.277308191	0.148422275	-0.308724881	0.343187863	-0.159052978	0.77504376	0.170634279	0.027208347	-0.397071985	-0.154695798	0.174244663	0.271458056	-0.24809762	0.141509669	-0.457883994	0.712073071	0.319574765	-0.534366104	0.211906758	0.281155145	-0.170234856	-0.003703215	-0.153754182	0.350267943	-0.52867588	0.426686017	0.370993039	-0.072167437	1.482762703	0.204041583	0.949356066	0.257606168
P61604	-0.237375399	0.158469783	-0.253818009	0.006743698	0.252303861	-0.263429782	0.442569608	-0.214332841	-0.005545106	0.06370901	-0.460085132	-0.264347392	-0.027719809	0.072500522	-0.26231971	0.263154291	-0.017395729	-0.160480926	-0.273771768	-0.230759372	-0.058872775	-0.52963586	0.104683093	0.074853245	-0.312788271	0.260217218	-0.237055079	0.405043651	0.007458726	0.13362747	-0.143659501	-0.204583925	0.551109057	-0.028493779	-0.227488436	0.196558947	0.445295222	-0.212433412	0.046367699	0.099799871	0.399803555	0.203623711	-0.260022237	-0.053386169	-0.652863614	0.109674083	0.089090596	0.340260892	0.525274455	-0.15600964	-0.474807052	-0.029219045	-0.374701515	0.367578958	0.629398556	-0.202611511	-0.132487887	-0.163460386	0.340334604	0.151826477	0.452307426	-0.067677217
